country,zip,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key","Statcan Census Division id","Statcan Census Division Name","Statcan Census Division Type","Statcan Census Division Type Description","Statcan Census Consolidated Subdivision id","Statcan Census Consolidated Subdivision Name","Statcan Census Subdivision id","Statcan Census Subdivision Name","Statcan Census Subdivision Type","Statcan Census Subdivision Type Description","Statcan Census Economic Region","Statcan Census Statistical Area Code","Statcan Census Statistical Area Code Description","Statcan Census Statistical Area Type","Statcan Census Statistical Area Type Description","Statcan Census CMA/CA id","Statcan Census CMA/CA Name","Statcan Census CMA/CA Type","Statcan Census CMA/CA Type Description","Statcan Census Tract","Statcan Census Year","Provincial/Territorial Riding OCD ID","Provincial/Territorial Riding Name (French)","Provincial/Territorial Riding Name (English)","Provincial/Territorial Riding Source","Federal Riding Code","Federal Riding OCD ID","Federal Riding Name (French)","Federal Riding Name (English)","Federal Riding Source"
Canada,M9W1J1,43.690906,-79.578171,1,place,,,"Etobicoke, ON M9W",,,,,Etobicoke,ON,,M9W,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350247.01,2021,ocd-division/country:ca/province:on/ed:30-2015,"Etobicoke North","Etobicoke North","Elections Ontario",35031,ocd-division/country:ca/ed:35031-2023,Etobicoke-Nord,"Etobicoke North","Federal Redistribution"
Canada,M5S2P1,43.659855,-79.407985,1,place,,,"Toronto, ON M5S",,,,,Toronto,ON,,M5S,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350059.00,2021,ocd-division/country:ca/province:on/ed:university-rosedale,"University - Rosedale","University - Rosedale","Elections Ontario",35112,ocd-division/country:ca/ed:35112-2023,University—Rosedale,University—Rosedale,"Federal Redistribution"
Canada,M2J4R1,43.77009,-79.32298,1,place,,,"North York, ON M2J",,,,,"North York",ON,,M2J,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350301.04,2021,ocd-division/country:ca/province:on/ed:don_valley_north-2015,"Don Valley North","Don Valley North","Elections Ontario",35092,ocd-division/country:ca/ed:35092-2023,Scarborough—Agincourt,Scarborough—Agincourt,"Federal Redistribution"
Canada,M9W6P8,43.716092,-79.59415,1,place,,,"Etobicoke, ON M9W",,,,,Etobicoke,ON,,M9W,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350247.01,2021,ocd-division/country:ca/province:on/ed:30-2015,"Etobicoke North","Etobicoke North","Elections Ontario",35031,ocd-division/country:ca/ed:35031-2023,Etobicoke-Nord,"Etobicoke North","Federal Redistribution"
Canada,M6R2K3,43.639469,-79.446825,1,place,,,"Toronto, ON M6R",,,,,Toronto,ON,,M6R,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350049.00,2021,ocd-division/country:ca/province:on/ed:parkdale-high_park,"Parkdale - High Park","Parkdale - High Park","Elections Ontario",35105,ocd-division/country:ca/ed:35105-2023,"Taiaiako'n—Parkdale—High Park","Taiaiako'n—Parkdale—High Park","Federal Redistribution"
Canada,M6H3Z5,43.66574,-79.445669,1,place,,,"Toronto, ON M6H",,,,,Toronto,ON,,M6H,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350097.04,2021,ocd-division/country:ca/province:on/ed:19-2015,Davenport,Davenport,"Elections Ontario",35022,ocd-division/country:ca/ed:35022-2023,Davenport,Davenport,"Federal Redistribution"
Canada,M6G1M2,43.662437,-79.424478,1,place,,,"Toronto, ON M6G",,,,,Toronto,ON,,M6G,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350094.00,2021,ocd-division/country:ca/province:on/ed:university-rosedale,"University - Rosedale","University - Rosedale","Elections Ontario",35112,ocd-division/country:ca/ed:35112-2023,University—Rosedale,University—Rosedale,"Federal Redistribution"
Canada,M5R2T8,43.673632,-79.406914,1,place,,,"Toronto, ON M5R",,,,,Toronto,ON,,M5R,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350092.00,2021,ocd-division/country:ca/province:on/ed:university-rosedale,"University - Rosedale","University - Rosedale","Elections Ontario",35112,ocd-division/country:ca/ed:35112-2023,University—Rosedale,University—Rosedale,"Federal Redistribution"
Canada,M6G3B1,43.666277,-79.419297,1,place,,,"Toronto, ON M6G",,,,,Toronto,ON,,M6G,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350093.00,2021,ocd-division/country:ca/province:on/ed:university-rosedale,"University - Rosedale","University - Rosedale","Elections Ontario",35112,ocd-division/country:ca/ed:35112-2023,University—Rosedale,University—Rosedale,"Federal Redistribution"
Canada,M1P4V8,43.768417,-79.268791,1,place,,,"Scarborough, ON M1P",,,,,Scarborough,ON,,M1P,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350369.00,2021,ocd-division/country:ca/province:on/ed:94-2015,"Scarborough Centre","Scarborough Centre","Elections Ontario",35097,ocd-division/country:ca/ed:35097-2023,Scarborough—Woburn,Scarborough—Woburn,"Federal Redistribution"
